"","Last name","Name","Date and Place of birth","Education","Parliamentary Experience","Province","Votes","Total Votes","Percentage","Constituency","Career backgrounds","Term"
"1","Abasi","Asadollah"," 1961,Chaboksar","Ph.D. in Curriculum Development","7th Term, 8th Term","Gilan","40345","108828","37/07","Amlash, Rudsar","Faculty Member of University, Minister of Welfare and Social Security","10th Term"
"2","Abedi","Heydar Ali"," 1955, Bijgerd","Ph.D. in Nursing Education",NA,"Esfahan","179230","671471","26/69","Esfahan","Teaching at University","10th Term"
"3","Abramian","Jorjik"," 1952, Tehran","BA in Armenian Language and Literature","6th Term","Khorasan","2290","2290","100"," Christians of Southern Iran","Industrialist","10th Term"
"4","Abtahi","seyed Mohammad Javad"," 1956, Khomeynishahr","MA in Private Law","8th Term","Esfahan","45514","105771","43/03","Khomeynishahr","Teaching at University","10th Term"
"5","Abutorabi","Abolfazl"," 1976, Najaf abad","MA in Criminal Law and Criminology","9th Term","Esfahan","64527","19857","46/87","Tiran, Krone, Najaf abad","Prosecutor of Tiran and Karvan","10th Term"
"6","Adyani rad","Seyed Ali"," 1959, Alasht","Ph.D. in Public Law","8th Term","Mazandaran","51222","100120","51/16","Savadkouh, Qaemshahr, Juybar, Simurgh, South Savadkouh","Director General of Auditing and Assembly Affairs for Subsidiaries of Ministry of Petroleum","10th Term"
"7","Afzali","Nazar"," 1958, Sarbisheh","Ph.D. in Poultry Science",NA,"South Khorasan","19553","54863","35/63","Nehbandan, Sarbisheh","Faculty Member of Birjand University","10th Term"
"8","Afzali","Seyed Hossein"," 1960, Eqlid","Ph.D. in Civil Engineering",NA,"Fars","20883","55972","37/3","Eqlid","Faculty Member of Shiraz University","10th Term"
"9","Aghapour Alishahi","Masoumeh"," 1969, Tehran","Ph.D. in Economics",NA,"East Azarbaijan","24952","39754","62/76","Shabestar","Teaching at University","10th Term"
"10","Ahmadi Lashki","Qasem"," 1965, Noshahr","Ph.D.in management, Policymaking (Science and Technology)","9th Term","Mazandaran","39986","112769","35/45","Noshahr, Chalus, Kelardasht","Governor of Chalous","10th Term"
"11","Ahmadi","Fereydoun"," 1967, Zanjan","Ph.D. in Industrial Engineering",NA,"Zanjan","44303","115574","38/33","Zanjan, Tram","Deputy of Industry and Mine, Teaching at University","10th Term"
"12","Akbari","Ali"," 1968, Ashkhaneh","MA in International Relations",NA,"North Khorasan","103433","260555","39/69","Bojnord, Maneh, Samalqan, Karme, Jajarm, Raz, Jarkan","Governor of Raz and Jargalan","10th Term"
"13","Akbari","Ali"," 1954, Marvdasht","MA",NA,"Fars","98822","170799","57/85","Shiraz","Head of Tribal Affairs Organization","10th Term"
"14","Akbariyan","Aziz"," 1957, Hashtrud","MA in Political Science, BS in Industrial Engineering","8th Term, 9th Term","Alborz","148218","554065","26/75","Karaj, Fardis, Eshtehard, Asara","IRGC Member","10th Term"
"15","Alavi","Seyed Ahsan"," 1959, Divandareh","MS in Civil Engineering, MA in Public Management","9th Term",NA,"43499","79872","54/46","Sanandaj, Divandareh, Kamyaran","Director General of Technical and Research Department at School Renovation Organization","10th Term"
"16","Alavi","Seyed Mohsen"," 1980, Qom","MA in Private Law",NA,"Fars","40414","84591","47/76","Lamerd, Mehr","Lawyer","10th Term"
"17","Alijani Zamani","Mohsen"," 1969, Shar-E-rey","Physician",NA,"Tehran","1122256","3244056","34/59","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Faculty Member of University","10th Term"
"18","Alireza beygi","Ahmad"," 1963, Urmia","Ph.D. in National Security Studies",NA,"East Azarbaijan","235314","721122","32/63","Azarshahr, Osku, Tabriz","West Azarbaijan Provincial Governor","10th Term"
"19","Alizade","Reza"," 1968, Varzeqan","MA in Economics","8th Term","East Azarbaijan","15898","49088","32/38","Varzeqan, Kharvana","CEO","10th Term"
"20","Allah gholi zade","Gholi"," 1960, Ahar","MA in International Law","5th Term, 6th Term","East Azarbaijan","36936","61711","59/85","Kaleybar, Khodaafarin, Hurand"," Teacher","10th Term"
"21","Almasi","Sakineh"," 1978, Jam","Ph.D. in Sociology",NA,"Bushehr","41804","110678","37/77","Jam, Kangan, Dayyer, Assaluyeh","State Welfare Organization Employee","10th Term"
"22","Amini fard","Mohammad Naeim"," 1966, Tehran","M.D., Ophthalmologist with Fellowship in Cornea",NA,NA,"76555","250283","30/58","Iranshahr, Sarbaz, Delghan,Fanuj","Faculty Member of Zahedan University","10th Term"
"23","Amini","Salam"," 1966, Baghdad","Ph.D.",NA,"Ilam","61959","165289","37/1","Ilam, Sirvan, Chardavol, Malekshahi, Mehran","Teaching at University","10th Term"
"24","Amini","Seyed Hamzeh"," 1969, Hashtrud","MA in Persian Language and Literature",NA,"East Azarbaijan","15058","54747","27/5","Hashtrud, Charoymaq","Teaching at University","10th Term"
"25","Amirabadi Farahani","Ahmad"," 1973, Amir Abad Farahan","Ph.D.","9th Term","Qom","263885","443797","59/46","Qom","Teaching at University","10th Term"
"26","Amirhassan Khani","Mohammad Reza"," 1964, Ferdows","M.D., Ophthalmologist","7th Term","South Khorasan","51615","104214","49/52","Tabas, Ferdows, Boshrooyeh, Sarayan","Physician","10th Term"
"27","Amiri Khamekani","Hossein"," 1958, Zarand","Ph.D. in Physics","6th Term, 7th Term, 8th Term, 9th Term","Kerman","35691","79589","44/84","Zarand, Kuhbanan","Chancellor of Payam Nour Universitys Kerman Branch","10th Term"
"28","Anaraki Mohammadi","Ahmad"," 1969, Anar","MA in Commercial Management",NA,"Kerman","56464","200244","40/87","Rafsanjan, Anar","Certified Expert","10th Term"
"29","Ansari","Reza"," 1973, Darab","Ph.D. in Technology Management",NA,"Fars","62291","116629","53/4","Darab, Zarrin Dasht","Faculty Member of Esfahan University","10th Term"
"30","Ardishir Larijani","Ali"," 1957, Najaf","Ph.D. in Philosophy","8th Term, 9th Term","Qom","191329","443797","43/11","Qom","Minister of Culture and Islamic Guidance, Head of IRIB, Secretary of Supreme National Security Council","10th Term"
"31","Aref","Mohammad Reza"," 1951, Yazd","Ph.D. in Electrical Engineering",NA,"Tehran","1608926","3244056","49/59","Tehran, rey, Shemiranat, Eslamshahr, Pardis","First VP, Minister of Communications and Information Technology","10th Term"
"32","Asadi karam","Ali"," 1964, Shahrbabak","MA in Public Management",NA,"Kerman","16956","44481","38/11","Shahrbabak","Education Ministry Director","10th Term"
"33","Ashouri Taziyani","Mohammad"," 1962, Bandar-E-Abbas","Ph.D.","7th Term, 8th Term, 9th Term","Hormozgan","127369","362042","35/18","Bandar-E-Abbas, Qeshm, Abu Musa, Hajiabad, Khamir","Deputy Provincial Governor for Political and Security Affairs","10th Term"
"34","Azadikhah","Ahad"," 1975, Malayer","Graduate of Grade IV of Islamic Jurisprudence-Hawza",NA,NA,"34313","67867","50/55","Malayer","Director General of Islamic Propagation Organization","10th Term"
"35","Azizi","Abdolreza"," 1968, Shirvan","Medical Doctor (M.D.)","9th Term","North Khorasan","27179","80118","33/92","Shirvan","Director General of Welfare Organization in North Khorassan Province","10th Term"
"36","Azizi","Mohammad"," 1975, Azadshahr","Ph.D.  in  Management",NA,"Zanjan","37693","73002","51/63","Abhar, Khoramdareh, Soltanieh","Governor of Abhar, Zanjan Mayor","10th Term"
"37","Babaei Saleh","Rouhollah"," 1978, Ardaq","MA in History, BA in Management and Development Planning",NA,"Qazvin","33486","86441","38/73","Buinzahra, Avaj","Teaching at University","10th Term"
"38","Badamchi","Mohammad Reza"," 1951, Tabriz","MA in Management",NA,"Tehran","1261252","3244056","38/87","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Industrial Development & Renovation Organization of Iran (IDRO)","10th Term"
"39","Badri","Sodaif"," 1972, Garmi","MS in Civil Engineering (Structures)",NA,NA,"87730","275722","31/81","Ardabil, Nemin, Nir, Sarein","Ardabil Mayor","10th Term"
"40","Bahadouri","Seyed Hadi"," 1978, Urmia","Ph.D. in Civil Engineering",NA,"West Azarbaijan","220197","354108","62/18","Urmia","Faculty Member of University","10th Term"
"41","Bahmani","Mahmoud"," 1326, Savojbolaq","Ph.D. in Economics",NA,"Alborz","50105","159634","31/38","Savojbolaq, Nazarabad, Taleqan","President of Central Bank","10th Term"
"42","Bahram nia","Hassan"," 1964, Nhavand","Ph.D. in Geography and Urbun Planning",NA,NA,"31132","90423","34/42","Nhavand","Chief Engineer at NIOC Salman Project","10th Term"
"43","Bakhtiyar","Ali"," 1973, Golpaygan","MS in  in Information Technology Management",NA,"Esfahan","14371","52651","27/29","Khansar, Golpaygan","Oil Chief Inspector at Office of the Ombudsman","10th Term"
"44","Bakhtiyari","Ali"," 1957, Baft","MA in Public Management",NA,"Kerman","21573","79152","27/25","Baft, Rabar, Arzuiyeh","CEO of Bazargostar Pegah Company","10th Term"
"45","Banaei","Hamid"," 1967, Gonabad","Ph.D. in Strategic Management",NA,"Khorasan Razavi","19901","71047","28/01","Gonabad, Bajestan","CEO","10th Term"
"46","Baouj Lahouti","Mehrdad"," 1961, Langrud","BA in management","8th Term, 9th Term","Gilan","28846","75733","38/08","Langrud","Director General of Rural and Urban Affairs at Langroud, Ivandareh City Council","10th Term"
