"","Last name","Name","Date and Place of birth","Education","Parliamentary Experience","Province","Votes","Total Votes","Percentage","Constituency","Career backgrounds","Term","Marital status"
"1","Abasi","Asadollah"," 1961,Chaboksar","Ph.D. in Curriculum Development","7th Term, 8th Term","Gilan","40345","108828","37/07","Amlash, Rudsar","Faculty Member of University, Minister of Welfare and Social Security","10th Term",NA
"2","Abedi","Heydar Ali"," 1955, Bijgerd","Ph.D. in Nursing Education",NA,"Esfahan","179230","671471","26/69","Esfahan","Teaching at University","10th Term",NA
"3","Abramian","Jorjik"," 1952, Tehran","BA in Armenian Language and Literature","6th Term","Khorasan","2290","2290","100"," Christians of Southern Iran","Industrialist","10th Term",NA
"4","Abtahi","seyed Mohammad Javad"," 1956, Khomeynishahr","MA in Private Law","8th Term","Esfahan","45514","105771","43/03","Khomeynishahr","Teaching at University","10th Term",NA
"5","Abutorabi","Abolfazl"," 1976, Najaf abad","MA in Criminal Law and Criminology","9th Term","Esfahan","64527","19857","46/87","Tiran, Krone, Najaf abad","Prosecutor of Tiran and Karvan","10th Term",NA
"6","Adyani rad","Seyed Ali"," 1959, Alasht","Ph.D. in Public Law","8th Term","Mazandaran","51222","100120","51/16","Savadkouh, Qaemshahr, Juybar, Simurgh, South Savadkouh","Director General of Auditing and Assembly Affairs for Subsidiaries of Ministry of Petroleum","10th Term",NA
"7","Afzali","Nazar"," 1958, Sarbisheh","Ph.D. in Poultry Science",NA,"South Khorasan","19553","54863","35/63","Nehbandan, Sarbisheh","Faculty Member of Birjand University","10th Term",NA
"8","Afzali","Seyed Hossein"," 1960, Eqlid","Ph.D. in Civil Engineering",NA,"Fars","20883","55972","37/3","Eqlid","Faculty Member of Shiraz University","10th Term",NA
"9","Aghapour Alishahi","Masoumeh"," 1969, Tehran","Ph.D. in Economics",NA,"East Azarbaijan","24952","39754","62/76","Shabestar","Teaching at University","10th Term",NA
"10","Ahmadi Lashki","Qasem"," 1965, Noshahr","Ph.D.in management, Policymaking (Science and Technology)","9th Term","Mazandaran","39986","112769","35/45","Noshahr, Chalus, Kelardasht","Governor of Chalous","10th Term",NA
"11","Ahmadi","Fereydoun"," 1967, Zanjan","Ph.D. in Industrial Engineering",NA,"Zanjan","44303","115574","38/33","Zanjan, Tram","Deputy of Industry and Mine, Teaching at University","10th Term",NA
"12","Akbari","Ali"," 1968, Ashkhaneh","MA in International Relations",NA,"North Khorasan","103433","260555","39/69","Bojnord, Maneh, Samalqan, Karme, Jajarm, Raz, Jarkan","Governor of Raz and Jargalan","10th Term",NA
"13","Akbari","Ali"," 1954, Marvdasht","MA",NA,"Fars","98822","170799","57/85","Shiraz","Head of Tribal Affairs Organization","10th Term",NA
"14","Akbariyan","Aziz"," 1957, Hashtrud","MA in Political Science, BS in Industrial Engineering","8th Term, 9th Term","Alborz","148218","554065","26/75","Karaj, Fardis, Eshtehard, Asara","IRGC Member","10th Term",NA
"15","Alavi","Seyed Ahsan"," 1959, Divandareh","MS in Civil Engineering, MA in Public Management","9th Term",NA,"43499","79872","54/46","Sanandaj, Divandareh, Kamyaran","Director General of Technical and Research Department at School Renovation Organization","10th Term",NA
"16","Alavi","Seyed Mohsen"," 1980, Qom","MA in Private Law",NA,"Fars","40414","84591","47/76","Lamerd, Mehr","Lawyer","10th Term",NA
"17","Alijani Zamani","Mohsen"," 1969, Shar-E-rey","Physician",NA,"Tehran","1122256","3244056","34/59","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Faculty Member of University","10th Term",NA
"18","Alireza beygi","Ahmad"," 1963, Urmia","Ph.D. in National Security Studies",NA,"East Azarbaijan","235314","721122","32/63","Azarshahr, Osku, Tabriz","West Azarbaijan Provincial Governor","10th Term",NA
"19","Alizade","Reza"," 1968, Varzeqan","MA in Economics","8th Term","East Azarbaijan","15898","49088","32/38","Varzeqan, Kharvana","CEO","10th Term",NA
"20","Allah gholi zade","Gholi"," 1960, Ahar","MA in International Law","5th Term, 6th Term","East Azarbaijan","36936","61711","59/85","Kaleybar, Khodaafarin, Hurand"," Teacher","10th Term",NA
"21","Almasi","Sakineh"," 1978, Jam","Ph.D. in Sociology",NA,"Bushehr","41804","110678","37/77","Jam, Kangan, Dayyer, Assaluyeh","State Welfare Organization Employee","10th Term",NA
"22","Amini fard","Mohammad Naeim"," 1966, Tehran","M.D., Ophthalmologist with Fellowship in Cornea",NA,NA,"76555","250283","30/58","Iranshahr, Sarbaz, Delghan,Fanuj","Faculty Member of Zahedan University","10th Term",NA
"23","Amini","Salam"," 1966, Baghdad","Ph.D.",NA,"Ilam","61959","165289","37/1","Ilam, Sirvan, Chardavol, Malekshahi, Mehran","Teaching at University","10th Term",NA
"24","Amini","Seyed Hamzeh"," 1969, Hashtrud","MA in Persian Language and Literature",NA,"East Azarbaijan","15058","54747","27/5","Hashtrud, Charoymaq","Teaching at University","10th Term",NA
"25","Amirabadi Farahani","Ahmad"," 1973, Amir Abad Farahan","Ph.D.","9th Term","Qom","263885","443797","59/46","Qom","Teaching at University","10th Term",NA
"26","Amirhassan Khani","Mohammad Reza"," 1964, Ferdows","M.D., Ophthalmologist","7th Term","South Khorasan","51615","104214","49/52","Tabas, Ferdows, Boshrooyeh, Sarayan","Physician","10th Term",NA
"27","Amiri Khamekani","Hossein"," 1958, Zarand","Ph.D. in Physics","6th Term, 7th Term, 8th Term, 9th Term","Kerman","35691","79589","44/84","Zarand, Kuhbanan","Chancellor of Payam Nour Universitys Kerman Branch","10th Term",NA
"28","Anaraki Mohammadi","Ahmad"," 1969, Anar","MA in Commercial Management",NA,"Kerman","56464","200244","40/87","Rafsanjan, Anar","Certified Expert","10th Term",NA
